"text","href"
"Homepage","https://medium.com/"
"Sign in / Sign up","https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F"
"","https://medium.com/search"
"Get started","https://medium.com/m/app"
"Popular on Medium","https://medium.com/topic/popular"
"Staff picks","https://medium.com/topic/editors-picks"
"World","https://medium.com/topic/world"
"Future","https://medium.com/topic/future"
"Life","https://medium.com/topic/life"
"Culture","https://medium.com/topic/culture"
"Work","https://medium.com/topic/work"
"Digital Design","https://medium.com/topic/digital-design"
"Bookmarks","https://medium.com/browse/bookmarks"
"The Domain Name System (DNS) is the backbone of the internet. Here’s how it all works.","https://medium.freecodecamp.com/the-domain-name-system-dns-is-the-backbone-of-the-internet-heres-how-it-all-works-5706d0afa0fa?source=reading_list---4------0-----------"
"","https://medium.freecodecamp.com/@nikodonnell"
"the three hot trends in Silicon Valley horseshit","https://medium.com/@freddiedeboer/the-three-hot-trends-in-silicon-valley-horseshit-95cc5a85e8a4?source=reading_list---4------1-----------"
"","https://medium.com/@freddiedeboer"
"Jack Dorsey on Donald Trump","https://backchannel.com/jack-dorsey-on-donald-trump-9864d2e542f4?source=reading_list---4------2-----------"
"","https://backchannel.com/@stevenlevy"
"Why Companies Are Not Startups","https://medium.com/startup-grind/why-companies-are-not-startups-41e5785e0b4e?source=reading_list---4------3-----------"
"","https://medium.com/@sgblank"
"Ten Things That Have Come Out Of My Mouth About The “Ten Bands” Thing On Facebook","https://theawl.com/ten-things-that-have-come-out-of-my-mouth-about-the-ten-bands-thing-on-facebook-647b9ef2fcf1?source=reading_list---4------0-----------"
"","https://theawl.com/@sarahlovescali"
"Three Things I Lost","https://medium.com/@priya_ebooks/three-things-i-lost-580108ca0a2c?source=reading_list---4------1-----------"
"","https://medium.com/@priya_ebooks"
"We spent months bracing and preparing for the death of our daughter.","https://medium.com/@royceyoung/we-spent-months-bracing-and-preparing-for-the-death-of-our-daughter-79f357dd254d?source=reading_list---4------2-----------"
"","https://medium.com/@royceyoung"
"The Youngest Guy in the RoomBeing named to the TIME 100 list was surprising, amazing, and more than a little overwhelming. Going to the official gala was no different.","https://medium.com/@GavinGrimmVA/the-youngest-guy-in-the-room-e7a3a989da96?source=reading_list---4------3-----------"
"","https://medium.com/@GavinGrimmVA"
"What Is Bernie’s Strategy?","https://medium.com/@bonannyc/what-is-bernies-strategy-73afc47a1b93?source=reading_list---4------0-----------"
"","https://medium.com/@bonannyc"
"Federal Court Calls Trump’s Threats to Defund Sanctuary Cities Unconstitutional","https://medium.com/aclu/federal-court-calls-trumps-threats-to-defund-sanctuary-cities-unconstitutional-109aa68363e9?source=reading_list---4------1-----------"
"","https://medium.com/@aclu"
"5 Pro Tips for Talking to Kids About Climate Change (Without Freaking Them Out)","https://medium.com/rainforest-alliance/5-pro-tips-for-talking-to-kids-about-climate-change-without-freaking-them-out-94d4ae27a2b9?source=reading_list---4------2-----------"
"","https://medium.com/@RnfrstAlliance"
"The Far Left Is Still Out Of Touch With Black Voters","https://theestablishment.co/the-far-left-is-still-out-of-touch-with-black-voters-90194cfddba6?source=reading_list---4------3-----------"
"","https://theestablishment.co/@marcushjohnson"
"Next-Door Neighbors: The Human Aspect of Cuban-American Relations","https://medium.com/@DidacticDave/after-decades-of-military-commercial-and-political-conflict-it-can-be-hard-to-put-your-thumb-on-db41cc4c0a02?source=reading_list---4------4-----------"
"","https://medium.com/@DidacticDave"
"Welcome, robot overlords","https://medium.com/bloomberg/welcome-robot-overlords-7dd73d0eb86f?source=reading_list---4------0-----------"
"","https://medium.com/@chafkin"
